ID,Codigo,Proceso,Tamano,Categoria,Familia,PctProteina,TiempoVidaMeses,Version,Agrupador,FechaInicio,FechaFin,FlagEstado
,7530498,Extruido,"0,8",NICOVITA KATAL CAMAR�N PRECR�A 0.8,KAT,,,,HD14271,02/02/24,,1
,7530499,Extruido,"0,8",NICOVITA CLASSIC CAMARON PRECR�A 0.8,CLA,,,,HD14270,22/01/24,,1
,7530741,Extruido,"0,8",NICOVITA KATAL CAMAR�N PRECR�A 0.8,KAT,,,,HD14271,25/02/24,,1
,7530777,Extruido,"0,8",NICOVITA KATAL CAMAR�N 35% 0.8 EXT,KAT,,,,HD14318,11/03/24,,1
,7530797,Extruido,"0,8",NICOVITA CLASSIC CAMARON 35% 0.8 ,CLA,,,,HD14325,14/07/24,20/09/24,0
,7530797,Extruido,"0,8",NICOVITA CLASSIC CAMARON 35% 0.8 ,CLA,,,,HD14331,21/09/24,,1
,7530825,Extruido,"0,8",NICOVITA KATAL CAMAR�N 35% - 0.8 EX,KAT,,,,HD14349,15/11/24,,1
,7549044,Extruido,"0,8",NICOVITA CLASSIC CAMAR�N 35% - 08,CLA,,,,HD14257,12/01/24,10/03/24,0
,7549044,Extruido,"0,8",NICOVITA CLASSIC CAMARON 35% - 0.8,CLA,,,,HD14258,11/03/24,10/03/24,0
,7549044,Extruido,"0,8",NICOVITA CLASSIC CAMARON 35% - 0.8,CLA,,,,HD14259,11/03/24,10/03/24,0
,7549044,Extruido,"0,8",NICOVITA CLASSIC CAMARON 35% - 0.8,CLA,,,,HD14260,11/03/24,07/06/24,0
,7549044,Extruido,"0,8",NICOVITA CLASSIC CAMAR�N 35% - 0.8 ,CLA,,,,HD14291,08/06/24,,1
,7549054,Extruido,"0,8",NICOVITA T�RAP CAMAR�N 35% - 08,,,,,HD14290,09/01/24,07/11/24,0
,7549054,Extruido,"0,8",NICOVITA CLASSIC CAMARON 35% 0.8 ,CLA,,,,HD14257,08/11/24,,1
,7549082,Extruido,"0,8",NICOVITA KATAL CAMARON 35% - 0.8 EX,KAT,,,,HD14271,13/03/24,,1
,7549088,Extruido,"0,8",NICOVITA KATAL CAMARON 35% 0.8 EXT ,KAT,,,,HD14318,11/11/24,,1
,7530857,Extruido,"0,5",Nicovita Katal Camar�n,KAT,,,,HD14378,07/01/26,,1
,7530827,Extruido,"0,5",Nicovita Katal Camar�n,KAT,,,,HD14355,15/08/25,14/10/25,0
,7530827,Extruido,"0,5",Nicovita Katal Camar�n,KAT,,,,HD14405,15/10/25,,1
,7530831,Extruido,"0,5",Nicovita Katal Camar�n,KAT,,,,HD14356,14/04/25,,1
,7530857,Extruido,"0,5",Nicovita Katal Camar�n,KAT,,,,HD14378,30/06/25,16/10/25,0
,7530857,Extruido,"0,5",Nicovita Katal Camar�n,KAT,,,,HD14404,17/10/25,,1
